attack,alpha,seed,active_frac,gate_mean,final_loss,mse,psnr,corr
inverting_gradients,2.0,5,0.9795918464660645,0.32237544655799866,0.016732115298509598,1.8517125844955444,-10.035271443773961,0.3559953570365906
dlg,2.0,6,1.0,0.3683663010597229,0.009599171578884125,0.09466265887022018,2.87867735027521,0.7608732581138611
idlg,2.0,6,0.0,1.7527740370226752e-10,4.725615501403809,13356402688.0,-108.61643070585643,-0.027766307815909386
inverting_gradients,2.0,6,1.0,0.3676535189151764,0.0011872967006638646,0.1423082947731018,1.1081621903184704,0.6661405563354492
dlg,2.0,7,1.0,0.36181381344795227,0.01106272079050541,0.43362531065940857,-3.8221156520344564,0.4305517375469208
idlg,2.0,7,0.0,0.0,5.259344577789307,3.551963723595776e+17,-182.95565462869772,0.06230635195970535
inverting_gradients,2.0,7,0.9998936653137207,0.36097025871276855,0.0010373464319854975,0.2223832905292511,-0.9219909326305495,0.5903668999671936
dlg,2.0,8,1.0,0.3625320494174957,0.020612841472029686,0.20093174278736115,-0.4507626213278338,0.6068710088729858
idlg,2.0,8,0.0,1.0247024562204388e-08,3.0461175441741943,914399744.0,-97.03163806807113,0.06677424907684326
inverting_gradients,2.0,8,0.9996811151504517,0.35738855600357056,0.009795788675546646,0.33376386761665344,-2.65467030336409,0.5120025873184204
dlg,2.0,9,0.9998936653137207,0.3903409242630005,0.02539106458425522,0.3129271864891052,-2.2540650090191257,0.5727555751800537
idlg,2.0,9,0.9997873902320862,0.3919205963611603,0.05432566627860069,0.1919703632593155,-0.13197392170206432,0.6096826791763306
inverting_gradients,2.0,9,0.9989370703697205,0.38984641432762146,0.002450442872941494,0.16780705749988556,0.45226572421371847,0.7044641375541687
dlg,2.0,10,0.9963860511779785,0.3669353723526001,0.046513475477695465,0.5034081935882568,-4.348683375380942,0.4299095571041107
idlg,2.0,10,0.056653909385204315,0.009690149687230587,1.0067310333251953,20010.58203125,-50.34207778375071,0.045680008828639984
inverting_gradients,2.0,10,0.9981930255889893,0.3734845221042633,0.003812172217294574,0.2601921260356903,-1.4824220734515356,0.5461137294769287
dlg,2.0,11,0.9977678656578064,0.3821917474269867,0.04428406059741974,0.6462497711181641,-5.344547509746709,0.3520893454551697
idlg,2.0,11,0.9894770383834839,0.38003265857696533,0.06405345350503922,1.1285457611083984,-7.765735225511811,0.2807733118534088
inverting_gradients,2.0,11,0.9978741407394409,0.3826725482940674,0.009211568161845207,0.5332382917404175,-4.509756771522811,0.37922555208206177
dlg,2.0,12,0.9985119104385376,0.3409857749938965,0.020252568647265434,0.1844850778579712,-0.04941263274276617,0.6148075461387634
idlg,2.0,12,0.9982993006706238,0.3583626449108124,0.03118911013007164,0.35730040073394775,-2.9201352271449768,0.507788896560669
inverting_gradients,2.0,12,1.0,0.3612150251865387,0.0021585968788713217,0.20084629952907562,-0.4184385395401976,0.6126246452331543
dlg,2.0,13,0.964285671710968,0.3331957459449768,0.16562852263450623,2.5246481895446777,-11.321640730885749,0.3925131857395172
idlg,2.0,13,0.9730016589164734,0.3343150317668915,0.11548777669668198,1.7095799446105957,-9.628526198785817,0.3851003348827362
inverting_gradients,2.0,13,0.9970237612724304,0.35434427857398987,0.00789877399802208,0.5996406078338623,-5.078542411982064,0.4719589352607727
dlg,2.0,14,0.0,0.0,0.8933702111244202,1.885567952355328e+17,-180.1139575446,0.005437185987830162
