activation,seed,epoch,test_acc,mean_mu,median_mu,mean_sigma,frac_mu_negative,mean_standardized_mu
softplus_beta20,1,0,0.4122,0.023771801963448524,-0.006254569161683321,0.8414243459701538,0.5968237704918032,-0.005270035471767187
softplus_beta20,1,6,0.7499,-0.043844494968652725,-0.04914338141679764,0.3406418561935425,0.7866290983606558,-0.2044895738363266
softplus_beta20,1,12,0.8334,-0.060068003833293915,-0.07005205750465393,0.23222658038139343,0.7748463114754098,-0.35936254262924194
softplus_beta20,1,18,0.8969,-0.06004181504249573,-0.07234642654657364,0.21082419157028198,0.7963627049180327,-0.476284384727478
softplus_beta20,1,24,0.9283,-0.058212053030729294,-0.0714569091796875,0.20386995375156403,0.8017418032786885,-0.4220481514930725
softplus_beta20,2,0,0.4035,0.01569557562470436,-0.010802471078932285,0.8387094736099243,0.6170594262295082,-0.00643710233271122
softplus_beta20,2,6,0.7738,-0.05170869827270508,-0.0541105717420578,0.3361299932003021,0.7945696721311475,-0.1867925226688385
softplus_beta20,2,12,0.8183,-0.05936460942029953,-0.06870946288108826,0.23117631673812866,0.7761270491803278,-0.34532660245895386
softplus_beta20,2,18,0.9014,-0.05800407752394676,-0.06990130245685577,0.20922774076461792,0.7861168032786885,-0.3844044804573059
softplus_beta20,2,24,0.9262,-0.05612800270318985,-0.06862897425889969,0.20236662030220032,0.7930327868852459,-0.39346572756767273
softplus_beta10,0,0,0.3848,0.02755727991461754,-0.005813942290842533,0.8599889278411865,0.5909323770491803,0.0008275978034362197
softplus_beta10,0,6,0.7477,-0.038335978984832764,-0.04354022443294525,0.35003548860549927,0.8027663934426229,-0.13561291992664337
softplus_beta10,0,12,0.8228,-0.06183130666613579,-0.06444914638996124,0.25085487961769104,0.7845799180327869,-0.33095306158065796
softplus_beta10,0,18,0.8886,-0.06224687770009041,-0.06497056782245636,0.23000876605510712,0.7984118852459017,-0.3635859191417694
softplus_beta10,0,24,0.9243,-0.05965878441929817,-0.0636419951915741,0.22394901514053345,0.8007172131147541,-0.3838035762310028
softplus_beta10,1,0,0.4239,0.032211627811193466,-0.006935054436326027,0.8538801074028015,0.6209016393442623,0.004790188744664192
softplus_beta10,1,6,0.7743,-0.04963630065321922,-0.048237454146146774,0.34901928901672363,0.7966188524590164,-0.16187596321105957
softplus_beta10,1,12,0.8481,-0.06584464758634567,-0.06831245869398117,0.2531416714191437,0.7871413934426229,-0.3196462392807007
softplus_beta10,1,18,0.8983,-0.06536798924207687,-0.06995795667171478,0.23223450779914856,0.8009733606557377,-0.39845550060272217
softplus_beta10,1,24,0.9203,-0.06270954012870789,-0.06778921186923981,0.2262107878923416,0.8030225409836066,-0.38112014532089233
softplus_beta10,2,0,0.4149,0.020525861531496048,-0.011030151508748531,0.8423764705657959,0.6567622950819673,-0.013097700662910938
softplus_beta10,2,6,0.7815,-0.05067833885550499,-0.05216112732887268,0.3515516519546509,0.8127561475409836,-0.1660480499267578
softplus_beta10,2,12,0.8453,-0.0698021873831749,-0.0748896449804306,0.2545835077762604,0.7848360655737705,-0.4136768579483032
softplus_beta10,2,18,0.896,-0.07067081332206726,-0.07606629282236099,0.23343902826309204,0.8050717213114754,-0.38434943556785583
softplus_beta10,2,24,0.9239,-0.0680755078792572,-0.07444892823696136,0.2268395572900772,0.8078893442622951,-0.3946163058280945
softplus_beta5,0,0,0.386,0.027801357209682465,-0.005162814166396856,0.8544745445251465,0.6234631147540983,-0.024007555097341537
softplus_beta5,0,6,0.688,-0.0325416624546051,-0.03978343307971954,0.36194491386413574,0.8258196721311475,-0.11521567404270172
softplus_beta5,0,12,0.7893,-0.061121828854084015,-0.0553760826587677,0.2751100957393646,0.7602459016393442,-0.26834845542907715
softplus_beta5,0,18,0.8625,-0.061106663197278976,-0.05833135545253754,0.2533665895462036,0.7589651639344263,-0.30127283930778503
softplus_beta5,0,24,0.9133,-0.0577121265232563,-0.05694606900215149,0.24750220775604248,0.7646004098360656,-0.30281776189804077
softplus_beta5,1,0,0.3885,0.015613379888236523,-0.007316915784031153,0.8355675935745239,0.6319159836065574,-0.03804471716284752
softplus_beta5,1,6,0.7007,-0.041926972568035126,-0.04215884953737259,0.3712994456291199,0.8291495901639344,-0.12495525181293488
softplus_beta5,1,12,0.8152,-0.064052514731884,-0.05437832698225975,0.280967116355896,0.7635758196721312,-0.2498825490474701
softplus_beta5,1,18,0.8774,-0.06058788672089577,-0.05276735499501228,0.258154958486557,0.7722848360655737,-0.27493637800216675
softplus_beta5,1,24,0.9247,-0.056874196976423264,-0.05059337243437767,0.252076119184494,0.7715163934426229,-0.31090018153190613
