layer,mean_abs_gamma,mean_abs_beta,activation,optimizer,seed,epoch
stages.6.bn2,0.989966869354248,0.062404729425907135,relu,adamw,2,6
stages.6.shortcut.1,0.9878431558609009,0.062404729425907135,relu,adamw,2,6
stages.7.bn1,0.9920507669448853,0.05863043665885925,relu,adamw,2,6
stages.7.bn2,0.9427890777587891,0.06674796342849731,relu,adamw,2,6
stem_bn,0.951988697052002,0.141068235039711,relu,adamw,2,12
stages.0.bn1,0.9950951337814331,0.11323054134845734,relu,adamw,2,12
stages.0.bn2,1.0149257183074951,0.09554518014192581,relu,adamw,2,12
stages.1.bn1,0.9788857698440552,0.19452330470085144,relu,adamw,2,12
stages.1.bn2,1.0000791549682617,0.13526085019111633,relu,adamw,2,12
stages.2.bn1,0.9852246046066284,0.1526404321193695,relu,adamw,2,12
stages.2.bn2,1.0075106620788574,0.15506160259246826,relu,adamw,2,12
stages.2.shortcut.1,0.983070969581604,0.15506160259246826,relu,adamw,2,12
stages.3.bn1,0.9778396487236023,0.22916078567504883,relu,adamw,2,12
stages.3.bn2,0.9650874137878418,0.1937304437160492,relu,adamw,2,12
stages.4.bn1,0.9849685430526733,0.19667750597000122,relu,adamw,2,12
stages.4.bn2,1.0400214195251465,0.17815516889095306,relu,adamw,2,12
stages.4.shortcut.1,0.9699722528457642,0.17815516889095306,relu,adamw,2,12
stages.5.bn1,0.9783236980438232,0.23902231454849243,relu,adamw,2,12
stages.5.bn2,0.9472220540046692,0.20583774149417877,relu,adamw,2,12
stages.6.bn1,0.9801244735717773,0.18307384848594666,relu,adamw,2,12
stages.6.bn2,1.0068048238754272,0.08377645909786224,relu,adamw,2,12
stages.6.shortcut.1,0.980029821395874,0.08377645909786224,relu,adamw,2,12
stages.7.bn1,0.9795487523078918,0.08610928803682327,relu,adamw,2,12
stages.7.bn2,0.9271934032440186,0.08686782419681549,relu,adamw,2,12
stem_bn,0.9484144449234009,0.14416596293449402,relu,adamw,2,18
stages.0.bn1,0.9938157796859741,0.121029794216156,relu,adamw,2,18
stages.0.bn2,1.0146000385284424,0.10280255228281021,relu,adamw,2,18
stages.1.bn1,0.9773116707801819,0.20381036400794983,relu,adamw,2,18
stages.1.bn2,1.0026392936706543,0.14210131764411926,relu,adamw,2,18
stages.2.bn1,0.983127236366272,0.16536611318588257,relu,adamw,2,18
stages.2.bn2,1.0099056959152222,0.16741546988487244,relu,adamw,2,18
stages.2.shortcut.1,0.9720049500465393,0.16741546988487244,relu,adamw,2,18
stages.3.bn1,0.9746888875961304,0.24748066067695618,relu,adamw,2,18
stages.3.bn2,0.9700913429260254,0.20542657375335693,relu,adamw,2,18
stages.4.bn1,0.9824129343032837,0.21488752961158752,relu,adamw,2,18
stages.4.bn2,1.0423634052276611,0.19894477725028992,relu,adamw,2,18
stages.4.shortcut.1,0.9523326754570007,0.19894477725028992,relu,adamw,2,18
stages.5.bn1,0.9734048843383789,0.26353609561920166,relu,adamw,2,18
stages.5.bn2,0.9547332525253296,0.2201654016971588,relu,adamw,2,18
stages.6.bn1,0.9768064618110657,0.20044799149036407,relu,adamw,2,18
stages.6.bn2,1.0220729112625122,0.08491663634777069,relu,adamw,2,18
stages.6.shortcut.1,0.9817533493041992,0.08491663634777069,relu,adamw,2,18
stages.7.bn1,0.9709596633911133,0.09765308350324631,relu,adamw,2,18
stages.7.bn2,0.9340041875839233,0.0854964554309845,relu,adamw,2,18
stem_bn,0.9479759335517883,0.14377525448799133,relu,adamw,2,24
stages.0.bn1,0.9938082098960876,0.12104705721139908,relu,adamw,2,24
stages.0.bn2,1.0144884586334229,0.10342079401016235,relu,adamw,2,24
stages.1.bn1,0.9773334264755249,0.20398423075675964,relu,adamw,2,24
stages.1.bn2,1.0030322074890137,0.14243055880069733,relu,adamw,2,24
stages.2.bn1,0.9829939603805542,0.16615380346775055,relu,adamw,2,24
stages.2.bn2,1.0100042819976807,0.16871453821659088,relu,adamw,2,24
stages.2.shortcut.1,0.9698516130447388,0.16871453821659088,relu,adamw,2,24
stages.3.bn1,0.9744774103164673,0.24892081320285797,relu,adamw,2,24
stages.3.bn2,0.9718062877655029,0.20598533749580383,relu,adamw,2,24
stages.4.bn1,0.9822226762771606,0.2166936993598938,relu,adamw,2,24
stages.4.bn2,1.0424749851226807,0.20110422372817993,relu,adamw,2,24
stages.4.shortcut.1,0.9495805501937866,0.20110422372817993,relu,adamw,2,24
stages.5.bn1,0.9729297757148743,0.2658902108669281,relu,adamw,2,24
stages.5.bn2,0.9569011926651001,0.22112640738487244,relu,adamw,2,24
stages.6.bn1,0.9765162467956543,0.20206329226493835,relu,adamw,2,24
