layer,mean_abs_gamma,mean_abs_beta,activation,seed,epoch
stages.3.bn1,0.25326648354530334,0.11321021616458893,relu,2,6
stages.3.bn2,0.22142165899276733,0.0633641928434372,relu,2,6
stages.4.bn1,0.26593711972236633,0.060338862240314484,relu,2,6
stages.4.bn2,0.26774004101753235,0.0659506767988205,relu,2,6
stages.4.shortcut.1,0.27814263105392456,0.0659506767988205,relu,2,6
stages.5.bn1,0.25641024112701416,0.12092696130275726,relu,2,6
stages.5.bn2,0.26308321952819824,0.06917209178209305,relu,2,6
stages.6.bn1,0.2665918469429016,0.05160048231482506,relu,2,6
stages.6.bn2,0.2844475507736206,0.07399716228246689,relu,2,6
stages.6.shortcut.1,0.26224446296691895,0.07399716228246689,relu,2,6
stages.7.bn1,0.26985275745391846,0.03594829514622688,relu,2,6
stages.7.bn2,0.24275629222393036,0.0913291722536087,relu,2,6
stem_bn,0.26634106040000916,0.11864276230335236,relu,2,12
stages.0.bn1,0.3364418148994446,0.11749172955751419,relu,2,12
stages.0.bn2,0.3232216238975525,0.10632960498332977,relu,2,12
stages.1.bn1,0.19181540608406067,0.12863537669181824,relu,2,12
stages.1.bn2,0.13353687524795532,0.06857678294181824,relu,2,12
stages.2.bn1,0.17831361293792725,0.04733739793300629,relu,2,12
stages.2.bn2,0.18307054042816162,0.04300253838300705,relu,2,12
stages.2.shortcut.1,0.2489766776561737,0.04300253838300705,relu,2,12
stages.3.bn1,0.1812022626399994,0.11518396437168121,relu,2,12
stages.3.bn2,0.1522018015384674,0.06879286468029022,relu,2,12
stages.4.bn1,0.18117806315422058,0.07333545386791229,relu,2,12
stages.4.bn2,0.20552389323711395,0.07705916464328766,relu,2,12
stages.4.shortcut.1,0.15644854307174683,0.07705916464328766,relu,2,12
stages.5.bn1,0.19421154260635376,0.1383437067270279,relu,2,12
stages.5.bn2,0.1710655391216278,0.08686667680740356,relu,2,12
stages.6.bn1,0.13779720664024353,0.062279798090457916,relu,2,12
stages.6.bn2,0.19985976815223694,0.04803680628538132,relu,2,12
stages.6.shortcut.1,0.14629554748535156,0.04803680628538132,relu,2,12
stages.7.bn1,0.1311788111925125,0.038482896983623505,relu,2,12
stages.7.bn2,0.2083776295185089,0.023440154269337654,relu,2,12
stem_bn,0.22243846952915192,0.10778496414422989,relu,2,18
