arch,seed,layer_idx,n_layers,layer_name,active_frac,gate_mean,grad_norm,grad_sparsity,grad_entropy,effective_rank,stable_rank
resnet18,12,2,9,layer1.1.relu,0.50079345703125,0.50079345703125,0.47266462445259094,0.06449127197265625,11.438233375549316,6.597612380981445,1.422155499458313
resnet18,12,3,9,layer2.0.relu,0.4995269775390625,0.4995269775390625,0.4315406382083893,0.0504302978515625,10.764097213745117,7.433623790740967,2.089900016784668
resnet18,12,4,9,layer2.1.relu,0.5026702880859375,0.5026702880859375,0.328622043132782,0.053253173828125,10.766371726989746,7.232933521270752,1.8413646221160889
resnet18,12,5,9,layer3.0.relu,0.501129150390625,0.501129150390625,0.2571893036365509,0.0430908203125,10.097724914550781,7.392578601837158,2.030588388442993
resnet18,12,6,9,layer3.1.relu,0.502899169921875,0.502899169921875,0.20414036512374878,0.0439453125,10.096612930297852,7.170044422149658,1.7824293375015259
resnet18,12,7,9,layer4.0.relu,0.50177001953125,0.50177001953125,0.16212794184684753,0.03765869140625,9.418285369873047,7.496682643890381,2.210484027862549
resnet18,12,8,9,layer4.1.relu,0.50286865234375,0.50286865234375,0.12769518792629242,0.029296875,9.420068740844727,7.217638969421387,1.816798448562622
resnet18,13,0,9,relu,0.9940968751907349,0.9940968751907349,0.7437114715576172,0.8546657562255859,,7.628188610076904,2.507467031478882
resnet18,13,1,9,layer1.0.relu,0.5037918090820312,0.5037918090820312,0.6446278095245361,0.068939208984375,11.42701530456543,6.2776899337768555,1.319154977798462
resnet18,13,2,9,layer1.1.relu,0.4990692138671875,0.4990692138671875,0.4308629333972931,0.06329345703125,11.430500030517578,6.431013107299805,1.3647589683532715
resnet18,13,3,9,layer2.0.relu,0.501708984375,0.501708984375,0.4002862572669983,0.0571136474609375,10.76022720336914,7.373655319213867,2.0015451908111572
resnet18,13,4,9,layer2.1.relu,0.5001068115234375,0.5001068115234375,0.30180925130844116,0.04986572265625,10.761650085449219,7.197721481323242,1.7982935905456543
resnet18,13,5,9,layer3.0.relu,0.49884033203125,0.49884033203125,0.24081461131572723,0.043975830078125,10.08687686920166,7.376992225646973,2.014918804168701
resnet18,13,6,9,layer3.1.relu,0.499176025390625,0.499176025390625,0.19061508774757385,0.0455322265625,10.08981704711914,7.17413330078125,1.7856817245483398
resnet18,13,7,9,layer4.0.relu,0.50665283203125,0.50665283203125,0.15299807488918304,0.0450439453125,9.412086486816406,7.384948253631592,2.032815933227539
resnet18,13,8,9,layer4.1.relu,0.50030517578125,0.50030517578125,0.12237957119941711,0.03619384765625,9.405230522155762,7.152132511138916,1.7652451992034912
resnet18,14,0,9,relu,0.9942447543144226,0.9942447543144226,0.7318950891494751,0.8543510437011719,,7.620829105377197,2.4961607456207275
resnet18,14,1,9,layer1.0.relu,0.49970245361328125,0.49970245361328125,0.6538342237472534,0.06630706787109375,11.43234634399414,6.258195400238037,1.3150522708892822
resnet18,14,2,9,layer1.1.relu,0.5001296997070312,0.5001296997070312,0.43470633029937744,0.06940460205078125,11.43382453918457,6.5597100257873535,1.4102543592453003
resnet18,14,3,9,layer2.0.relu,0.50079345703125,0.50079345703125,0.39172598719596863,0.04632568359375,10.76473331451416,7.396923065185547,2.0301263332366943
resnet18,14,4,9,layer2.1.relu,0.4990692138671875,0.4990692138671875,0.29719576239585876,0.0553436279296875,10.75910472869873,7.219419002532959,1.8201396465301514
resnet18,14,5,9,layer3.0.relu,0.5008544921875,0.5008544921875,0.23745471239089966,0.047393798828125,10.090264320373535,7.416895866394043,2.093179225921631
resnet18,14,6,9,layer3.1.relu,0.500396728515625,0.500396728515625,0.18791881203651428,0.0479736328125,10.09033203125,7.132213592529297,1.7506158351898193
resnet18,14,7,9,layer4.0.relu,0.50030517578125,0.50030517578125,0.15094265341758728,0.0364990234375,9.411652565002441,7.403336048126221,2.0435099601745605
resnet18,14,8,9,layer4.1.relu,0.4986572265625,0.4986572265625,0.12338851392269135,0.03863525390625,9.41120719909668,7.111893177032471,1.7242121696472168
